,parameter,fraction,units,method_speciation,num_decimal_places,class,class_type,trout_class,spatial_extent,sampling_period,sampling_period_units,strata,type,use,water_type,pollutant,standard_type,narrative,wqs_threshold,statistic,min_n,block,direction,threshold,threshold_units,summarize_rows,summarize_rows_operator,num_rows_to_summarize,aggregate_parameter,wqs_75p_threshold_formula,wqs_75p_threshold
33,ammonia,total,ug/l,as N,1,a-special(ts),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
34,ammonia,total,ug/l,as N,1,a-special,fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
35,ammonia,total,ug/l,as N,1,a-special(t),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
36,ammonia,total,ug/l,as N,1,a-special(ts),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
37,ammonia,total,ug/l,as N,1,aa,fresh,all,nys,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
38,ammonia,total,ug/l,as N,1,aa(t),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
39,ammonia,total,ug/l,as N,1,aa(ts),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
40,ammonia,total,ug/l,as N,1,aa,fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
41,ammonia,total,ug/l,as N,1,aa(t),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
42,ammonia,total,ug/l,as N,1,aa(ts),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
